semana_fin,geografia,variable_base,valor_actual,unidad,fuente,anomalia_z_52s,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,diferencia_mediana_departamentos,percentil_departamental,promedio_movil_12s,promedio_movil_4s,ranking_departamental
2026-06-21,Antioquia,precipitacion_semanal,52.4,mm,open-meteo,-0.410725,8.5,19.362187,16.703786,3.75,62.5,52.008333,56.825,4.0
2026-06-21,Antioquia,temp_max_semanal,29.8,°C,open-meteo,0.020099,-0.4,,,4.35,100.0,30.041667,30.125,1.0
2026-06-21,Antioquia,temp_min_semanal,17.0,°C,open-meteo,0.765603,-0.9,,,1.6,100.0,17.1,17.9,1.0
2026-06-21,Antioquia,temp_promedio_semanal,23.0429,°C,open-meteo,0.673168,-0.3857,,,3.0965,100.0,23.2137,23.3875,1.0
2026-06-21,COLOMBIA,fx_usd_local,3444.47998046875,COP/USD,yfinance,-2.302148,-55.649902,-1.589938,-6.674653,,,3628.156657,3543.394958,
2026-06-21,COLOMBIA,precio_interno_referencia,2110000.0,COP/carga_125kg,FNC,-1.285978,80000.0,3.940887,-4.090909,,,2175833.333333,2083000.0,
2026-06-21,Caldas,precipitacion_semanal,139.8,mm,open-meteo,1.129474,66.0,89.430894,-3.983516,91.15,100.0,84.55,114.3,1.0
2026-06-21,Caldas,temp_max_semanal,21.0,°C,open-meteo,-0.368582,-2.5,,,-4.45,12.5,22.166667,21.9,8.0
2026-06-21,Caldas,temp_min_semanal,11.0,°C,open-meteo,0.832144,-1.0,,,-4.4,12.5,11.283333,12.275,8.0
2026-06-21,Caldas,temp_promedio_semanal,15.6786,°C,open-meteo,0.240532,-1.0,,,-4.2678,12.5,16.3506,16.41965,8.0
2026-06-21,Cauca,precipitacion_semanal,14.4,mm,open-meteo,-0.934543,-20.6,-58.857143,-5.882353,-34.25,12.5,36.375,31.625,8.0
2026-06-21,Cauca,temp_max_semanal,25.3,°C,open-meteo,0.04165,-1.3,,,-0.15,50.0,25.858333,26.625,5.0
2026-06-21,Cauca,temp_min_semanal,14.1,°C,open-meteo,0.941934,0.3,,,-1.3,25.0,13.841667,14.475,7.0
2026-06-21,Cauca,temp_promedio_semanal,19.5643,°C,open-meteo,0.74297,0.0143,,,-0.3821,37.5,19.376183,19.7625,6.0
2026-06-21,GLOBAL,precio_cafe_arabica,275.1000061035156,USc/lb,yfinance,-1.225069,17.899994,6.959562,1.00973,,,282.304169,261.100006,
2026-06-21,Huila,precipitacion_semanal,30.8,mm,open-meteo,-0.400519,-22.1,-41.776938,5.119454,-17.85,37.5,33.291667,33.9,6.0
2026-06-21,Huila,temp_max_semanal,25.9,°C,open-meteo,-0.700469,-3.9,,,0.45,75.0,27.333333,27.3,3.0
2026-06-21,Huila,temp_min_semanal,14.4,°C,open-meteo,0.346336,-0.4,,,-1.0,37.5,15.191667,15.15,6.0
2026-06-21,Huila,temp_promedio_semanal,20.0714,°C,open-meteo,-0.193447,-1.3215,,,0.125,75.0,20.975,20.88035,3.0
2026-06-21,Nariño,precipitacion_semanal,24.6,mm,open-meteo,-0.517822,-3.5,-12.455516,38.983051,-24.05,25.0,40.783333,28.325,7.0
2026-06-21,Nariño,temp_max_semanal,23.0,°C,open-meteo,-0.256117,-2.3,,,-2.45,25.0,24.125,25.025,7.0
2026-06-21,Nariño,temp_min_semanal,15.1,°C,open-meteo,1.625697,0.8,,,-0.3,50.0,14.066667,15.2,5.0
2026-06-21,Nariño,temp_promedio_semanal,19.1857,°C,open-meteo,1.154795,0.05,,,-0.7607,25.0,18.791058,19.357125,7.0
2026-06-21,Quindío,precipitacion_semanal,101.2,mm,open-meteo,-0.426263,50.2,98.431373,60.890302,52.55,75.0,87.366667,93.075,3.0
2026-06-21,Quindío,temp_max_semanal,23.6,°C,open-meteo,-1.294802,-3.4,,,-1.85,37.5,25.733333,25.525,6.0
2026-06-21,Quindío,temp_min_semanal,16.3,°C,open-meteo,1.691771,0.8,,,0.9,87.5,15.591667,16.425,2.0
2026-06-21,Quindío,temp_promedio_semanal,19.9357,°C,open-meteo,0.673025,-0.45,,,-0.0107,50.0,20.349408,20.428575,5.0
2026-06-21,Risaralda,precipitacion_semanal,44.9,mm,open-meteo,-0.598721,18.8,72.030651,87.083333,-3.75,50.0,49.583333,39.45,5.0
2026-06-21,Risaralda,temp_max_semanal,26.2,°C,open-meteo,0.014269,-2.4,,,0.75,87.5,27.133333,27.525,2.0
2026-06-21,Risaralda,temp_min_semanal,16.0,°C,open-meteo,0.987015,-0.2,,,0.6,75.0,16.025,16.475,3.0
2026-06-21,Risaralda,temp_promedio_semanal,20.85,°C,open-meteo,0.765077,-0.6857,,,0.9036,87.5,21.18035,21.36785,2.0
2026-06-21,Tolima,precipitacion_semanal,136.2,mm,open-meteo,0.126237,21.7,18.951965,36.336336,87.55,87.5,107.958333,100.325,2.0
2026-06-21,Tolima,temp_max_semanal,25.6,°C,open-meteo,0.989641,-0.1,,,0.15,62.5,24.85,25.65,4.0
2026-06-21,Tolima,temp_min_semanal,15.7,°C,open-meteo,1.653947,0.4,,,0.3,62.5,15.2,15.925,4.0
2026-06-21,Tolima,temp_promedio_semanal,19.9571,°C,open-meteo,1.383998,0.4285,,,0.0107,62.5,19.644642,19.926775,4.0
